
Begin Step 0, Time: 0, Systemstep: 0
Begin Step 135, Time: 1.90956, Systemstep: 0.0141449

Begin Step 136, Time: 1.92371, Systemstep: 0.0141449

Begin Step 137, Time: 1.93785, Systemstep: 0.0141449

Begin Step 138, Time: 1.952, Systemstep: 0.0141449

Begin Step 139, Time: 1.96614, Systemstep: 0.0141449

Begin Step 140, Time: 1.98029, Systemstep: 0.0141449

Begin Step 141, Time: 1.99443, Systemstep: 0.0141449

Begin Step 142, Time: 2.00858, Systemstep: 0.0141449

Begin Step 143, Time: 2.02272, Systemstep: 0.0141449

Begin Step 144, Time: 2.03687, Systemstep: 0.0141449

Begin Step 145, Time: 2.05101, Systemstep: 0.0141449

Begin Step 146, Time: 2.06516, Systemstep: 0.0141449

Begin Step 147, Time: 2.0793, Systemstep: 0.0141449

Begin Step 148, Time: 2.09344, Systemstep: 0.0141449

Begin Step 149, Time: 2.10759, Systemstep: 0.0141449

Begin Step 150, Time: 2.12173, Systemstep: 0.0141449

Begin Step 151, Time: 2.13588, Systemstep: 0.0141449

Begin Step 152, Time: 2.15002, Systemstep: 0.0141449

Begin Step 153, Time: 2.16417, Systemstep: 0.0141449

Begin Step 154, Time: 2.17831, Systemstep: 0.0141449

Begin Step 155, Time: 2.19246, Systemstep: 0.0141449

Begin Step 156, Time: 2.2066, Systemstep: 0.0141449

Begin Step 157, Time: 2.22075, Systemstep: 0.0141449

Begin Step 158, Time: 2.23489, Systemstep: 0.0141449

Begin Step 159, Time: 2.24904, Systemstep: 0.0141449

Begin Step 160, Time: 2.26318, Systemstep: 0.0141449

Begin Step 161, Time: 2.27733, Systemstep: 0.0141449

Begin Step 162, Time: 2.29147, Systemstep: 0.0141449

Begin Step 163, Time: 2.30562, Systemstep: 0.0141449

Begin Step 164, Time: 2.31976, Systemstep: 0.0141449

Begin Step 165, Time: 2.33391, Systemstep: 0.0141449

Begin Step 166, Time: 2.34805, Systemstep: 0.0141449

Begin Step 167, Time: 2.3622, Systemstep: 0.0141449

Begin Step 168, Time: 2.37634, Systemstep: 0.0141449

Begin Step 169, Time: 2.39049, Systemstep: 0.0141449

Begin Step 170, Time: 2.40463, Systemstep: 0.0141449

Begin Step 171, Time: 2.41878, Systemstep: 0.0141449

Begin Step 172, Time: 2.43292, Systemstep: 0.0141449

Begin Step 173, Time: 2.44707, Systemstep: 0.0141449

Begin Step 174, Time: 2.46121, Systemstep: 0.0141449

Begin Step 175, Time: 2.47536, Systemstep: 0.0141449

Begin Step 176, Time: 2.4895, Systemstep: 0.0141449

Begin Step 177, Time: 2.50365, Systemstep: 0.0141449

Begin Step 178, Time: 2.51779, Systemstep: 0.0141449

Begin Step 179, Time: 2.53194, Systemstep: 0.0141449

Begin Step 180, Time: 2.54608, Systemstep: 0.0141449

Begin Step 181, Time: 2.56023, Systemstep: 0.0141449

Begin Step 182, Time: 2.57437, Systemstep: 0.0141449

Begin Step 183, Time: 2.58852, Systemstep: 0.0141449

Begin Step 184, Time: 2.60266, Systemstep: 0.0141449

Begin Step 185, Time: 2.61681, Systemstep: 0.0141449

Begin Step 186, Time: 2.63095, Systemstep: 0.0141449

Begin Step 187, Time: 2.6451, Systemstep: 0.0141449

Begin Step 188, Time: 2.65924, Systemstep: 0.0141449

Begin Step 189, Time: 2.67339, Systemstep: 0.0141449

Begin Step 190, Time: 2.68753, Systemstep: 0.0141449

Begin Step 191, Time: 2.70168, Systemstep: 0.0141449

Begin Step 192, Time: 2.71582, Systemstep: 0.0141449

Begin Step 193, Time: 2.72997, Systemstep: 0.0141449

Begin Step 194, Time: 2.74411, Systemstep: 0.0141449

Begin Step 195, Time: 2.75826, Systemstep: 0.0141449

Begin Step 196, Time: 2.7724, Systemstep: 0.0141449

Begin Step 197, Time: 2.78654, Systemstep: 0.0141449

Begin Step 198, Time: 2.80069, Systemstep: 0.0141449

Begin Step 199, Time: 2.81483, Systemstep: 0.0141449

Begin Step 200, Time: 2.82898, Systemstep: 0.0141449

Begin Step 201, Time: 2.84312, Systemstep: 0.0141449

Begin Step 202, Time: 2.85727, Systemstep: 0.0141449

Begin Step 203, Time: 2.87141, Systemstep: 0.0141449

Begin Step 204, Time: 2.88556, Systemstep: 0.0141449

Begin Step 205, Time: 2.8997, Systemstep: 0.0141449

Begin Step 206, Time: 2.91385, Systemstep: 0.0141449

Begin Step 207, Time: 2.92799, Systemstep: 0.0141449

Begin Step 208, Time: 2.94214, Systemstep: 0.0141449

Begin Step 209, Time: 2.95628, Systemstep: 0.0141449

Begin Step 210, Time: 2.97043, Systemstep: 0.0141449

Begin Step 211, Time: 2.98457, Systemstep: 0.0141449

Begin Step 212, Time: 2.99872, Systemstep: 0.0141449

Begin Step 213, Time: 3.01286, Systemstep: 0.0141449

Begin Step 214, Time: 3.02701, Systemstep: 0.0141449

Begin Step 215, Time: 3.04115, Systemstep: 0.0141449

Begin Step 216, Time: 3.0553, Systemstep: 0.0141449

Begin Step 217, Time: 3.06944, Systemstep: 0.0141449

Begin Step 218, Time: 3.08359, Systemstep: 0.0141449

Begin Step 219, Time: 3.09773, Systemstep: 0.0141449

Begin Step 220, Time: 3.11188, Systemstep: 0.0141449

Begin Step 221, Time: 3.12602, Systemstep: 0.0141449

Begin Step 222, Time: 3.14017, Systemstep: 0.0141449

Begin Step 223, Time: 3.15431, Systemstep: 0.0141449

Begin Step 224, Time: 3.16846, Systemstep: 0.0141449

Begin Step 225, Time: 3.1826, Systemstep: 0.0141449

Begin Step 226, Time: 3.19675, Systemstep: 0.0141449

Begin Step 227, Time: 3.21089, Systemstep: 0.0141449

Begin Step 228, Time: 3.22504, Systemstep: 0.0141449

Begin Step 229, Time: 3.23918, Systemstep: 0.0141449

Begin Step 230, Time: 3.25333, Systemstep: 0.0141449

Begin Step 231, Time: 3.26747, Systemstep: 0.0141449

Begin Step 232, Time: 3.28162, Systemstep: 0.0141449

Begin Step 233, Time: 3.29576, Systemstep: 0.0141449

Begin Step 234, Time: 3.30991, Systemstep: 0.0141449

Begin Step 235, Time: 3.32405, Systemstep: 0.0141449

Begin Step 236, Time: 3.3382, Systemstep: 0.0141449

Begin Step 237, Time: 3.35234, Systemstep: 0.0141449

Begin Step 238, Time: 3.36649, Systemstep: 0.0141449

Begin Step 239, Time: 3.38063, Systemstep: 0.0141449

Begin Step 240, Time: 3.39478, Systemstep: 0.0141449

Begin Step 241, Time: 3.40892, Systemstep: 0.0141449

Begin Step 242, Time: 3.42307, Systemstep: 0.0141449

Begin Step 243, Time: 3.43721, Systemstep: 0.0141449

Begin Step 244, Time: 3.45135, Systemstep: 0.0141449

Begin Step 245, Time: 3.4655, Systemstep: 0.0141449

Begin Step 246, Time: 3.47964, Systemstep: 0.0141449

Begin Step 247, Time: 3.49379, Systemstep: 0.0141449

Begin Step 248, Time: 3.50793, Systemstep: 0.0141449

Begin Step 249, Time: 3.52208, Systemstep: 0.0141449

Begin Step 250, Time: 3.53622, Systemstep: 0.0141449

Begin Step 251, Time: 3.55037, Systemstep: 0.0141449

Begin Step 252, Time: 3.56451, Systemstep: 0.0141449

Begin Step 253, Time: 3.57866, Systemstep: 0.0141449

Begin Step 254, Time: 3.5928, Systemstep: 0.0141449

Begin Step 255, Time: 3.60695, Systemstep: 0.0141449

Begin Step 256, Time: 3.62109, Systemstep: 0.0141449

Begin Step 257, Time: 3.63524, Systemstep: 0.0141449

Begin Step 258, Time: 3.64938, Systemstep: 0.0141449

Begin Step 259, Time: 3.66353, Systemstep: 0.0141449

Begin Step 260, Time: 3.67767, Systemstep: 0.0141449

Begin Step 261, Time: 3.69182, Systemstep: 0.0141449

Begin Step 262, Time: 3.70596, Systemstep: 0.0141449

Begin Step 263, Time: 3.72011, Systemstep: 0.0141449

Begin Step 264, Time: 3.73425, Systemstep: 0.0141449

Begin Step 265, Time: 3.7484, Systemstep: 0.0141449

Begin Step 266, Time: 3.76254, Systemstep: 0.0141449

Begin Step 267, Time: 3.77669, Systemstep: 0.0141449

Begin Step 268, Time: 3.79083, Systemstep: 0.0141449

Begin Step 269, Time: 3.80498, Systemstep: 0.0141449

Begin Step 270, Time: 3.81912, Systemstep: 0.0141449

Begin Step 271, Time: 3.83327, Systemstep: 0.0141449

Begin Step 272, Time: 3.84741, Systemstep: 0.0141449

Begin Step 273, Time: 3.86156, Systemstep: 0.0141449

Begin Step 274, Time: 3.8757, Systemstep: 0.0141449

Begin Step 275, Time: 3.88985, Systemstep: 0.0141449

Begin Step 276, Time: 3.90399, Systemstep: 0.0141449

Begin Step 277, Time: 3.91814, Systemstep: 0.0141449

Begin Step 278, Time: 3.93228, Systemstep: 0.0141449

Begin Step 279, Time: 3.94643, Systemstep: 0.0141449

Begin Step 280, Time: 3.96057, Systemstep: 0.0141449

Begin Step 281, Time: 3.97472, Systemstep: 0.0141449

Begin Step 282, Time: 3.98886, Systemstep: 0.0141449

Begin Step 283, Time: 4.00301, Systemstep: 0.0141449

Begin Step 284, Time: 4.01715, Systemstep: 0.0141449

Begin Step 285, Time: 4.0313, Systemstep: 0.0141449

Begin Step 286, Time: 4.04544, Systemstep: 0.0141449

Begin Step 287, Time: 4.05959, Systemstep: 0.0141449

Begin Step 288, Time: 4.07373, Systemstep: 0.0141449

Begin Step 289, Time: 4.08788, Systemstep: 0.0141449

Begin Step 290, Time: 4.10202, Systemstep: 0.0141449

Begin Step 291, Time: 4.11617, Systemstep: 0.0141449

Begin Step 292, Time: 4.13031, Systemstep: 0.0141449

Begin Step 293, Time: 4.14445, Systemstep: 0.0141449

Begin Step 294, Time: 4.1586, Systemstep: 0.0141449

Begin Step 295, Time: 4.17274, Systemstep: 0.0141449

Begin Step 296, Time: 4.18689, Systemstep: 0.0141449

Begin Step 297, Time: 4.20103, Systemstep: 0.0141449

Begin Step 298, Time: 4.21518, Systemstep: 0.0141449

Begin Step 299, Time: 4.22932, Systemstep: 0.0141449

Begin Step 300, Time: 4.24347, Systemstep: 0.0141449

Begin Step 301, Time: 4.25761, Systemstep: 0.0141449

Begin Step 302, Time: 4.27176, Systemstep: 0.0141449

Begin Step 303, Time: 4.2859, Systemstep: 0.0141449

Begin Step 304, Time: 4.30005, Systemstep: 0.0141449

Begin Step 305, Time: 4.31419, Systemstep: 0.0141449

Begin Step 306, Time: 4.32834, Systemstep: 0.0141449

Begin Step 307, Time: 4.34248, Systemstep: 0.0141449

Begin Step 308, Time: 4.35663, Systemstep: 0.0141449

Begin Step 309, Time: 4.37077, Systemstep: 0.0141449

Begin Step 310, Time: 4.38492, Systemstep: 0.0141449

Begin Step 311, Time: 4.39906, Systemstep: 0.0141449

Begin Step 312, Time: 4.41321, Systemstep: 0.0141449

Begin Step 313, Time: 4.42735, Systemstep: 0.0141449

Begin Step 314, Time: 4.4415, Systemstep: 0.0141449

Begin Step 315, Time: 4.45564, Systemstep: 0.0141449

Begin Step 316, Time: 4.46979, Systemstep: 0.0141449

Begin Step 317, Time: 4.48393, Systemstep: 0.0141449

Begin Step 318, Time: 4.49808, Systemstep: 0.0141449

Begin Step 319, Time: 4.51222, Systemstep: 0.0141449

Begin Step 320, Time: 4.52637, Systemstep: 0.0141449

Begin Step 321, Time: 4.54051, Systemstep: 0.0141449

Begin Step 322, Time: 4.55466, Systemstep: 0.0141449

Begin Step 323, Time: 4.5688, Systemstep: 0.0141449

Begin Step 324, Time: 4.58295, Systemstep: 0.0141449

Begin Step 325, Time: 4.59709, Systemstep: 0.0141449

Begin Step 326, Time: 4.61124, Systemstep: 0.0141449

Begin Step 327, Time: 4.62538, Systemstep: 0.0141449

Begin Step 328, Time: 4.63953, Systemstep: 0.0141449

Begin Step 329, Time: 4.65367, Systemstep: 0.0141449

Begin Step 330, Time: 4.66782, Systemstep: 0.0141449

Begin Step 331, Time: 4.68196, Systemstep: 0.0141449

Begin Step 332, Time: 4.69611, Systemstep: 0.0141449

Begin Step 333, Time: 4.71025, Systemstep: 0.0141449

Begin Step 334, Time: 4.7244, Systemstep: 0.0141449

Begin Step 335, Time: 4.73854, Systemstep: 0.0141449

Begin Step 336, Time: 4.75269, Systemstep: 0.0141449

Begin Step 337, Time: 4.76683, Systemstep: 0.0141449

Begin Step 338, Time: 4.78098, Systemstep: 0.0141449

Begin Step 339, Time: 4.79512, Systemstep: 0.0141449

Begin Step 340, Time: 4.80927, Systemstep: 0.0141449

Begin Step 341, Time: 4.82341, Systemstep: 0.0141449

Begin Step 342, Time: 4.83755, Systemstep: 0.0141449

Begin Step 343, Time: 4.8517, Systemstep: 0.0141449

Begin Step 344, Time: 4.86584, Systemstep: 0.0141449

Begin Step 345, Time: 4.87999, Systemstep: 0.0141449

Begin Step 346, Time: 4.89413, Systemstep: 0.0141449

Begin Step 347, Time: 4.90828, Systemstep: 0.0141449

Begin Step 348, Time: 4.92242, Systemstep: 0.0141449

Begin Step 349, Time: 4.93657, Systemstep: 0.0141449

Begin Step 350, Time: 4.95071, Systemstep: 0.0141449

Begin Step 351, Time: 4.96486, Systemstep: 0.0141449

Begin Step 352, Time: 4.979, Systemstep: 0.0141449

Begin Step 353, Time: 4.99315, Systemstep: 0.0141449

Begin Step 354, Time: 5.00729, Systemstep: 0.0141449

Begin Step 355, Time: 5.02144, Systemstep: 0.0141449

Begin Step 356, Time: 5.03558, Systemstep: 0.0141449

